Карта;Название рус.;Раритетность;Издание;Цвет;Тип;Язык;Состояние;Фойл;Кол-во;Кол-во на продажу;Цена;Комментарий
In Search of Greatness;В Поисках Величия;Rare;khm;G;enchantment;ru;NM;0;1;1;64;
Jaspera Sentinel;Часовые Ясперы;Common;khm;G;creature;ru;NM;0;4;4;13;
Jorn, God of Winter;Йорн, Бог Зимы;Rare;khm;G;legendary creature;ru;NM;0;2;2;43;
King Harald's Revenge;Месть Короля Харальда;Common;khm;G;sorcery;ru;NM;0;4;4;11;
Kolvori, God of Kinship;Колвори, Богиня Родства;Rare;khm;G;legendary creature;ru;NM;0;3;3;32;
Littjara Glade-Warden;Страж Рощи Литт-Яры;Uncommon;khm;G;creature;ru;NM;0;4;4;15;
Mammoth Growth;Великанский Рост;Common;khm;G;instant;ru;NM;0;4;4;12;
Masked Vandal;Вандал в Маске;Common;khm;G;creature;ru;NM;0;4;4;16;
Path to the World Tree;Путь к Мировому Древу;Uncommon;khm;G;enchantment;ru;NM;0;4;4;16;
Ravenous Lindwurm;Прожорливый Линдвурм;Common;khm;G;creature;ru;NM;0;4;4;12;
Rootless Yew;Неукоренившийся Тис;Uncommon;khm;G;creature;ru;NM;0;4;4;15;
Roots of Wisdom;Корни Мудрости;Common;khm;G;sorcery;ru;NM;0;4;4;11;
Rune of Might;Руна Могущества;Uncommon;khm;G;enchantment;ru;NM;0;4;4;16;
Sarulf's Packmate;Брат по Стае Сарульфа;Common;khm;G;creature;ru;NM;0;4;4;13;
Sculptor of Winter;Ваятельница Зимы;Common;khm;G;creature;ru;NM;0;4;4;12;
Sculptor of Winter;Ваятельница Зимы;Common;khm;G;creature;ru;NM;1;1;0;19;
Snakeskin Veil;Завеса Змеиной Кожи;Common;khm;G;instant;ru;NM;0;4;4;15;
Spirit of the Aldergard;Дух Альдергарда;Uncommon;khm;G;creature;ru;NM;0;4;4;15;
Struggle for Skemfar;Схватка за Скемфар;Common;khm;G;sorcery;ru;NM;0;4;4;11;
Aegar, the Freezing Flame;Эгар, Ледяное Пламя;Uncommon;khm;UR;legendary creature;ru;NM;0;4;4;16;
Arni Slays the Troll;Арни Убивает Тролля;Uncommon;khm;RG;enchantment;ru;NM;0;4;4;16;
Ascent of the Worthy;Вознесение Достойных;Uncommon;khm;WB;enchantment;ru;NM;0;4;4;16;
Battle for Bretagard;Битва за Бретагард;Rare;khm;WG;enchantment;ru;NM;0;4;4;23;
Battle of Frost and Fire;Битва Мороза и Пламени;Rare;khm;UR;enchantment;ru;NM;0;4;4;23;
The Bears of Littjara;Медведи Литт-Яры;Rare;khm;UG;enchantment;ru;NM;0;4;4;23;
Binding the Old Gods;Пленение Старых Богов;Uncommon;khm;BG;enchantment;ru;NM;0;4;4;45;
The Bloodsky Massacre;Резня Кровавого Неба;Rare;khm;BR;enchantment;ru;NM;0;4;4;23;
Fall of the Impostor;Падение Самозванца;Uncommon;khm;WG;enchantment;ru;NM;0;4;4;15;
Firja, Judge of Valor;Фирия, Судья Доблести;Uncommon;khm;WB;legendary creature;ru;NM;0;4;4;16;
Forging the Tyrite Sword;Ковка Меча из Тирита;Uncommon;khm;WR;enchantment;ru;NM;0;4;4;16;
Harald, King of Skemfar;Харальд, Король Скемфара;Uncommon;khm;BG;legendary creature;ru;NM;0;4;4;16;
Harald, King of Skemfar;Харальд, Король Скемфара;Uncommon;khm;BG;legendary creature;ru;NM;1;1;1;26;
Harald Unites the Elves;Харальд Объединяет Эльфов;Rare;khm;BG;enchantment;ru;NM;0;1;1;25;
Invasion of the Giants;Вторжение Великанов;Uncommon;khm;UR;enchantment;ru;NM;0;4;4;16;
Kardur, Doomscourge;Кардур, Бич Рока;Uncommon;khm;BR;legendary creature;ru;NM;0;4;4;16;
Kardur's Vicious Return;Жестокое Возвращение Кардура;Uncommon;khm;BR;enchantment;ru;NM;0;4;4;16;
King Narfi's Betrayal;Предательство Короля Нарфи;Rare;khm;UB;enchantment;ru;NM;0;3;3;23;
Koll, the Forgemaster;Кёлль, Хозяин Кузни;Uncommon;khm;WR;legendary creature;ru;NM;0;4;4;16;
Maja, Bretagard Protector;Майя, Защитница Бретагарда;Uncommon;khm;WG;legendary creature;ru;NM;0;4;4;16;
Moritte of the Frost;Моритт Мороза;Uncommon;khm;UG;legendary creature;ru;NM;0;4;4;16;
Narfi, Betrayer King;Нарфи, Король-Предатель;Uncommon;khm;UB;legendary creature;ru;NM;0;4;4;16;
Niko Defies Destiny;Нико Бросает Вызов Судьбе;Uncommon;khm;WU;enchantment;ru;NM;0;4;4;15;
Svella, Ice Shaper;Свелла, Заклинательница Льда;Uncommon;khm;RG;legendary creature;ru;NM;0;4;4;16;
The Three Seasons;Три Времени Года;Uncommon;khm;UG;enchantment;ru;NM;0;4;4;16;
The Trickster-God's Heist;Кража Плутовского Бога;Uncommon;khm;UB;enchantment;ru;NM;0;4;4;16;
Vega, the Watcher;Вега, Наблюдатель;Uncommon;khm;WU;legendary creature;ru;NM;0;4;4;16;
Bloodline Pretender;Родовой Самозванец;Uncommon;khm;;artifact creature;ru;NM;0;4;4;26;
Colossal Plow;Исполинский Плуг;Uncommon;khm;;artifact;ru;NM;0;4;4;16;
Cosmos Elixir;Эликсир Мироздания;Rare;khm;;artifact;ru;NM;0;5;5;104;
Funeral Longboat;Погребальный Драккар;Common;khm;;artifact;ru;NM;0;4;4;13;
Goldvein Pick;Золотожильная Кирка;Common;khm;;artifact;ru;NM;0;1;1;15;
Maskwood Nexus;Нексус Лихолесья;Rare;khm;;artifact;ru;NM;0;4;4;268;
Raiders' Karve;Карви Налетчиков;Common;khm;;artifact;ru;NM;0;4;4;11;
Raven Wings;Крылья Ворона;Common;khm;;artifact;ru;NM;0;4;4;12;
Replicating Ring;Кольцо Повторения;Uncommon;khm;;artifact;ru;NM;0;4;4;26;
Runed Crown;Рунная Корона;Uncommon;khm;;artifact;ru;NM;0;4;4;15;
Scorn Effigy;Фигурка Презрения;Common;khm;;artifact creature;ru;NM;0;4;4;13;
Weathered Runestone;Истертый Рунный Камень;Uncommon;khm;;artifact;ru;NM;0;4;4;22;
Alpine Meadow;Горный Луг;Common;khm;;land;ru;NM;0;5;5;22;
Arctic Treeline;Полярный Лесной Рубеж;Common;khm;;land;ru;NM;0;4;4;32;
Axgard Armory;Аксгардский Арсенал;Uncommon;khm;;land;ru;NM;0;4;4;18;
Bretagard Stronghold;Крепость Бретагарда;Uncommon;khm;;land;ru;NM;0;4;4;16;
Gates of Istfell;Врата Истфелла;Uncommon;khm;;land;ru;NM;0;4;4;16;
Glacial Floodplain;Ледовая Пойма;Common;khm;;land;ru;NM;0;5;5;22;
Gnottvold Slumbermound;Спящий Холм Гноттвольда;Uncommon;khm;;land;ru;NM;0;4;4;16;
Great Hall of Starnheim;Большой Зал Старнхайма;Uncommon;khm;;land;ru;NM;0;4;4;16;
Highland Forest;Горный Лес;Common;khm;;land;ru;NM;0;4;4;30;
Immersturm Skullcairn;Курган Черепов Иммерштурма;Uncommon;khm;;land;ru;NM;0;4;4;16;
Littjara Mirrorlake;Зеркальное Озеро Литт-Яры;Uncommon;khm;;land;ru;NM;0;4;4;16;
Port of Karfell;Порт Карфелла;Uncommon;khm;;land;ru;NM;0;4;4;16;
Rimewood Falls;Водопад Индевелого Леса;Common;khm;;land;ru;NM;0;2;2;72;
Shimmerdrift Vale;Долина Снежного Мерцания;Common;khm;;land;ru;NM;0;4;4;15;
Skemfar Elderhall;Скемфарский Зал Древних;Uncommon;khm;;land;ru;NM;0;4;4;16;
Snowfield Sinkhole;Воронка Снежного Поля;Common;khm;;land;ru;NM;0;1;1;31;
Sulfurous Mire;Сернистая Топь;Common;khm;;land;ru;NM;0;4;4;30;
Surtland Frostpyre;Морозный Огонь Суртланда;Uncommon;khm;;land;ru;NM;0;4;4;16;
Tyrite Sanctum;Тиритовое Святилище;Rare;khm;;land;ru;NM;0;4;4;56;
Volatile Fjord;Переменчивый Фьорд;Common;khm;;land;ru;NM;0;2;2;33;
Woodland Chasm;Лесной Разлом;Common;khm;;land;ru;NM;0;1;1;68;
Pestermite;Надоеда;Common;lrw;U;creature;ru;SP;0;2;2;31;
Pestermite;Надоеда;Common;lrw;U;creature;en;SP;0;3;3;31;
Snow-Covered Island;Заснеженный Остров;Common;khm;;land;ru;NM;0;2;2;77;
Snow-Covered Forest;Заснеженный Лес;Common;khm;;land;ru;NM;0;1;1;72;
Snow-Covered Forest;Заснеженный Лес;Common;khm;;land;ru;NM;0;7;7;68;
Cosima, God of the Voyage;Косима, Богиня Странствий;Rare;khm;U;legendary creature;ru;NM;0;2;2;63;
Arni Brokenbrow;Арни Трехбровый;Rare;khm;R;legendary creature;ru;NM;0;2;2;32;
Fynn, the Fangbearer;Финн, Клыконосец;Uncommon;khm;G;legendary creature;ru;NM;0;4;4;20;
Firja, Judge of Valor;Фирия, Судья Доблести;Uncommon;khm;WB;legendary creature;ru;NM;0;4;4;19;
Koll, the Forgemaster;Кёлль, Хозяин Кузни;Uncommon;khm;WR;legendary creature;ru;NM;0;4;4;19;
Kaya the Inexorable Emblem;---;Common;khm;;;ru;NM;0;4;4;32;
Tibalt, Cosmic Impostor Emblem;---;Common;khm;;;ru;NM;0;4;4;15;
Tyvar Kell Emblem;---;Common;khm;;;ru;NM;0;4;4;31;
Foretell;---;Common;khm;;;ru;NM;0;4;4;16;
Draining Whelk;Канализационный Прыщ (Брюхоногий Паразит);Rare;tsr;U;creature;ru;NM;0;1;1;32;
Extirpate;Искоренение;Rare;tsr;B;instant;en;NM;0;1;1;77;
Greater Gargadon;Великий Гаргадон;Rare;tsr;R;creature;en;NM;0;1;1;31;
Pact of the Titan;Договор Титана;Rare;tsr;;instant;ru;NM;0;1;1;23;
Reiterate;Повторить;Rare;tsr;R;instant;en;NM;0;1;1;190;
Simian Spirit Guide;Обезьяний Проводник Духов;Common;tsr;R;creature;ru;NM;0;1;1;31;
Harmonize;Гармония;Uncommon;tsr;G;sorcery;ru;NM;0;1;1;25;
Heartwood Storyteller;Хартвудский Рассказчик;Rare;tsr;G;creature;ru;NM;0;1;1;63;
Might of Old Krosa;Мощь Старого Кроса;Uncommon;tsr;G;instant;en;NM;0;1;1;22;
Necrotic Sliver;Омертвелая Щепка;Uncommon;tsr;WB;creature;en;NM;1;1;1;157;
Saffi Eriksdotter;Саффи Эриксдоттер;Rare;tsr;WG;legendary creature;en;NM;0;1;1;61;
Akroma's Memorial;Мемориал Акромы;Mythic Rare;tsr;;legendary artifact;en;NM;0;1;1;743;
Containment Priest;Сдерживающая Священница;Special;tsr;W;creature;en;NM;0;1;1;74;
Repeal;Отказ;Special;tsr;U;instant;en;NM;0;1;1;60;
Exquisite Firecraft;Изысканное Мастерство Пламени;Special;tsr;R;sorcery;en;NM;0;1;1;59;
Goblin Engineer;Гоблин-Инженер;Special;tsr;R;creature;ru;NM;0;1;1;217;
Farseek;Дальнее Странствие;Special;tsr;G;sorcery;en;NM;0;1;1;167;
Thragtusk;Крутоклык;Special;tsr;G;creature;en;NM;0;1;1;77;
Consuming Aberration;Всепоглощающая Тварь;Special;tsr;UB;creature;en;NM;0;1;1;21;
Epic Experiment;Великий Эксперимент;Special;tsr;UR;sorcery;ru;NM;0;1;1;44;
Slimefoot, the Stowaway;Слизеног, Незваный Пассажир;Special;tsr;BG;legendary creature;en;NM;0;1;1;47;
Panharmonicon;Пангармоникон;Special;tsr;;artifact;en;NM;0;1;1;569;
Vanquisher's Banner;Знамя Завоевателя;Special;tsr;;artifact;en;NM;0;1;1;561;
Wastes;Пустоши;Special;tsr;;land land;ru;NM;0;1;1;450;
Environmental Sciences;Науки о Среде;Common;stx;;sorcery;ru;NM;0;4;4;16;
Expanded Anatomy;Расширенная Анатомия;Common;stx;;sorcery;ru;NM;0;4;4;11;
Introduction to Annihilation;Введение в Изничтожение;Common;stx;;sorcery;ru;NM;0;4;4;13;
Introduction to Prophecy;Введение в Пророчества;Common;stx;;sorcery;ru;NM;0;4;4;13;
Mascot Exhibition;Выставка Талисманов;Mythic Rare;stx;;sorcery;ru;NM;0;1;1;64;
Wandering Archaic;Бродячий Древний;Rare;stx;;creature;ru;NM;0;4;4;488;
Ageless Guardian;Нестареющий Часовой;Common;stx;W;creature;ru;NM;0;4;4;11;
Beaming Defiance;Вопиющая Непокорность;Common;stx;W;instant;ru;NM;0;4;4;11;
Clever Lumimancer;Мудрая Светомантка;Uncommon;stx;W;creature;ru;NM;0;4;4;35;
Combat Professor;Боевой Профессор;Common;stx;W;creature;ru;NM;0;4;4;12;
Defend the Campus;Оборона Кампуса;Common;stx;W;instant;ru;NM;0;4;4;11;
Detention Vortex;Вихрь Задержания;Uncommon;stx;W;enchantment;ru;NM;0;4;4;16;
Dueling Coach;Тренер Дуэлянтов;Uncommon;stx;W;creature;ru;NM;0;4;4;16;
Eager First-Year;Энергичная Первокурсница;Common;stx;W;creature;ru;NM;0;4;4;11;
Expel;Отчислить;Common;stx;W;instant;ru;NM;0;4;4;12;
Guiding Voice;Направляющий Голос;Common;stx;W;sorcery;ru;NM;0;8;8;13;
Mavinda, Students' Advocate;Мавинда, Заступница за Студентов;Mythic Rare;stx;W;legendary creature;ru;NM;0;2;2;96;
Pilgrim of the Ages;Паломница Веков;Common;stx;W;creature;ru;NM;0;4;4;12;
Pillardrop Rescuer;Спасатель Отвесных Колонн;Common;stx;W;creature;ru;NM;0;4;4;13;
Professor of Symbology;Профессор Символогии;Uncommon;stx;W;creature;ru;NM;0;4;4;16;
Reduce to Memory;Свести к Воспоминаниям;Uncommon;stx;W;sorcery;ru;NM;0;4;4;16;
Secret Rendezvous;Тайная Встреча;Uncommon;stx;W;sorcery;ru;NM;0;4;4;16;
Semester's End;Конец Семестра;Rare;stx;W;instant;ru;NM;0;4;4;33;
Show of Confidence;Демонстрация Уверенности;Uncommon;stx;W;instant;ru;NM;0;4;4;16;
Sparring Regimen;Режим Тренировок;Rare;stx;W;enchantment;ru;NM;0;1;0;24;
Star Pupil;Звездный Ученик;Common;stx;W;creature;ru;NM;0;4;4;12;
Stonebinder's Familiar;Спутник Камнетворца;Uncommon;stx;W;creature;ru;NM;0;4;4;16;
Stonerise Spirit;Дух Летучего Камня;Common;stx;W;creature;ru;NM;0;4;4;12;
Strict Proctor;Строгая Наблюдательница;Rare;stx;W;creature;ru;NM;0;3;3;48;
Study Break;Перерыв в Учебе;Common;stx;W;instant;ru;NM;0;4;4;13;
Thunderous Orator;Громогласный Оратор;Uncommon;stx;W;creature;ru;NM;0;8;8;16;
Arcane Subtraction;Волшебное Вычитание;Common;stx;U;instant;ru;NM;0;4;4;12;
Burrog Befuddler;Буррог-Обманщик;Common;stx;U;creature;ru;NM;0;4;4;11;
Bury in Books;Зарыть в Книги;Common;stx;U;instant;ru;NM;0;4;4;13;
Curate;Курирование;Common;stx;U;instant;ru;NM;0;4;4;13;
Divide by Zero;Деление на Ноль;Uncommon;stx;U;instant;ru;NM;0;4;4;16;
Dream Strix;Неясыть Грез;Rare;stx;U;creature;ru;NM;0;4;4;22;
Frost Trickster;Морозная Плутовка;Common;stx;U;creature;ru;NM;0;4;4;13;
Ingenious Mastery;Гениальное Мастерство;Rare;stx;U;sorcery;ru;NM;0;2;2;23;
Kelpie Guide;Келпи-Проводник;Uncommon;stx;U;creature;ru;NM;0;4;4;16;
Mentor's Guidance;Руководство Наставницы;Uncommon;stx;U;sorcery;ru;NM;0;4;4;16;
Mercurial Transformation;Изменчивая Трансформация;Uncommon;stx;U;sorcery;ru;NM;0;4;4;16;
Multiple Choice;Выбор Ответа;Rare;stx;U;sorcery;ru;NM;0;2;2;27;
Pop Quiz;Неожиданная Контрольная;Common;stx;U;instant;ru;NM;0;4;4;13;
Reject;Отклонить;Common;stx;U;instant;ru;NM;0;8;8;13;
Resculpt;Изваять Заново;Common;stx;U;instant;ru;NM;0;3;3;16;
Serpentine Curve;Змеиная Кривая;Common;stx;U;sorcery;ru;NM;0;4;4;13;
Snow Day;Снежный День;Uncommon;stx;U;instant;ru;NM;0;4;4;15;
Soothsayer Adept;Адепт-Предсказатель;Common;stx;U;creature;ru;NM;0;4;4;11;
Symmetry Sage;Ведунья Симметрии;Uncommon;stx;U;creature;ru;NM;0;4;4;16;
Teachings of the Archaics;Учения Древних;Rare;stx;U;sorcery;ru;NM;0;3;3;23;
Tempted by the Oriq;Соблазненный Ориком;Rare;stx;U;sorcery;ru;NM;0;3;3;25;
Vortex Runner;Гонец Вихря;Common;stx;U;creature;ru;NM;0;4;4;11;
Waterfall Aerialist;Воздушный Гимнаст Водопада;Common;stx;U;creature;ru;NM;0;4;4;12;
Wormhole Serpent;Змей Червоточин;Uncommon;stx;U;creature;ru;NM;0;4;4;16;
Arrogant Poet;Высокомерный Поэт;Common;stx;B;creature;ru;NM;0;4;4;12;
Brackish Trudge;Солоноводный Болотник;Uncommon;stx;B;creature;ru;NM;0;4;4;16;
Callous Bloodmage;Жестокосердный Маг Крови;Rare;stx;B;creature;ru;NM;0;2;2;32;
Confront the Past;Противостояние Прошлому;Rare;stx;B;sorcery;ru;NM;0;3;3;23;
Crushing Disappointment;Сокрушительное Разочарование;Common;stx;B;instant;ru;NM;0;4;4;12;
Essence Infusion;Вливание Эссенции;Common;stx;B;sorcery;ru;NM;0;4;4;12;
Eyetwitch;Глазопырь;Uncommon;stx;B;creature;ru;NM;0;4;4;23;
Flunk;Провал на Экзамене;Uncommon;stx;B;instant;ru;NM;0;4;4;16;
Go Blank;Пустой Разум;Uncommon;stx;B;sorcery;ru;NM;0;4;4;16;
Hunt for Specimens;Охота за Образцами;Common;stx;B;sorcery;ru;NM;0;4;4;13;
Lash of Malice;Плеть Злобы;Common;stx;B;instant;ru;NM;0;4;4;12;
Leech Fanatic;Неистовая Иссушительница;Common;stx;B;creature;ru;NM;0;4;4;12;
Mage Hunter;Охотник на Магов;Uncommon;stx;B;creature;ru;NM;0;4;4;16;
Mage Hunters' Onslaught;Нападение Охотников на Магов;Common;stx;B;sorcery;ru;NM;0;4;4;12;
Necrotic Fumes;Некротические Испарения;Uncommon;stx;B;sorcery;ru;NM;0;4;4;16;
Novice Dissector;Начинающий Анатом;Common;stx;B;creature;ru;NM;0;4;4;11;
Oriq Loremage;Ведомаг Орика;Rare;stx;B;creature;ru;NM;0;4;4;33;
Plumb the Forbidden;Окунуться в Запретное;Uncommon;stx;B;instant;ru;NM;0;1;1;113;
Poet's Quill;Перо Поэта;Rare;stx;B;artifact;ru;NM;0;2;2;23;
Professor's Warning;Предупреждение Профессора;Common;stx;B;instant;ru;NM;0;4;4;13;
Promising Duskmage;Одаренная Волшебница Сумерек;Common;stx;B;creature;ru;NM;0;4;4;12;
Specter of the Fens;Призрак Трясины;Common;stx;B;creature;ru;NM;0;4;4;11;
Tenured Inkcaster;Почетная Чернилодейка;Uncommon;stx;B;creature;ru;NM;0;4;4;16;
Umbral Juke;Подлый Прием;Uncommon;stx;B;instant;ru;NM;0;4;4;16;
Unwilling Ingredient;Ингредиент Поневоле;Common;stx;B;creature;ru;NM;0;4;4;12;
Academic Dispute;Ученый Диспут;Uncommon;stx;R;instant;ru;NM;0;4;4;16;
Ardent Dustspeaker;Пылкая Ведунья Праха;Uncommon;stx;R;creature;ru;NM;0;4;4;16;
Blood Age General;Генерал Кровавого Века;Common;stx;R;creature;ru;NM;0;4;4;12;
Crackle with Power;Искрящаяся Мощь;Mythic Rare;stx;R;sorcery;ru;NM;0;1;1;198;
Draconic Intervention;Драконье Вмешательство;Rare;stx;R;sorcery;ru;NM;0;4;4;23;
Dragon's Approach;Приближение Дракона;Common;stx;R;sorcery;ru;NM;0;4;4;127;
Enthusiastic Study;Увлеченное Изучение;Common;stx;R;instant;ru;NM;0;4;4;12;
Explosive Welcome;Взрывной Прием;Uncommon;stx;R;instant;ru;NM;0;4;4;16;
Fervent Mastery;Яростное Мастерство;Rare;stx;R;sorcery;ru;NM;0;3;3;23;
First Day of Class;Первый День Занятий;Common;stx;R;instant;ru;NM;0;4;4;13;
Fuming Effigy;Дымящаяся Фигура;Common;stx;R;creature;ru;NM;0;4;4;12;
Grinning Ignus;Ухмыляющийся Игнус;Uncommon;stx;R;creature;ru;NM;0;4;4;16;
Hall Monitor;Зальный Смотритель;Uncommon;stx;R;creature;ru;NM;0;4;4;16;
Heated Debate;Горячие Дебаты;Common;stx;R;instant;ru;NM;0;4;4;12;
Igneous Inspiration;Гениальное Вдохновение;Uncommon;stx;R;sorcery;ru;NM;0;4;4;16;
Illuminate History;Освещение Истории;Rare;stx;R;sorcery;ru;NM;0;4;4;23;
Illustrious Historian;Прославленный Историк;Common;stx;R;creature;ru;NM;0;4;4;11;
Mascot Interception;Перехват Талисмана;Uncommon;stx;R;sorcery;ru;NM;0;4;4;15;
Pigment Storm;Буря Красок;Common;stx;R;sorcery;ru;NM;0;4;4;10;
Pillardrop Warden;Страж Отвесных Колонн;Common;stx;R;creature;ru;NM;0;4;4;11;
Retriever Phoenix;Достающий Феникс;Rare;stx;R;creature;ru;NM;0;1;1;21;
Start from Scratch;С Чистого Листа;Uncommon;stx;R;sorcery;ru;NM;0;4;4;16;
Storm-Kiln Artist;Художник Обжигающей Бури;Uncommon;stx;R;creature;ru;NM;0;4;4;106;
Sudden Breakthrough;Внезапный Прорыв;Common;stx;R;instant;ru;NM;0;4;4;13;
Tome Shredder;Истребитель Фолиантов;Common;stx;R;creature;ru;NM;0;4;4;13;
Twinscroll Shaman;Шаман Двоесвитков;Common;stx;R;creature;ru;NM;0;4;4;13;
Accomplished Alchemist;Состоявшийся Алхимик;Rare;stx;G;creature;ru;NM;0;1;1;32;
Bayou Groff;Грофф с Топей;Common;stx;G;creature;ru;NM;0;4;4;13;
Big Play;Большая Игра;Common;stx;G;instant;ru;NM;0;4;4;12;
Bookwurm;Книжный Вурм;Uncommon;stx;G;creature;ru;NM;0;4;4;16;
Charge Through;Мощный Рывок;Common;stx;G;instant;ru;NM;0;4;4;13;
Containment Breach;Прорыв Сдерживания;Uncommon;stx;G;sorcery;ru;NM;0;4;4;16;
Devouring Tendrils;Прожорливые Щупальца;Uncommon;stx;G;sorcery;ru;NM;0;4;4;16;
Emergent Sequence;Открывшаяся Последовательность;Uncommon;stx;G;sorcery;ru;NM;0;4;4;18;
Exponential Growth;Экспоненциальный Рост;Rare;stx;G;sorcery;ru;NM;0;4;4;27;
Field Trip;Учебная Экскурсия;Common;stx;G;sorcery;ru;NM;0;4;4;13;
Fortifying Draught;Укрепляющая Настойка;Uncommon;stx;G;instant;ru;NM;0;4;4;16;
Honor Troll;Тролль с Отличием;Uncommon;stx;G;creature;ru;NM;0;4;4;16;
Karok Wrangler;Погонщица Кароков;Uncommon;stx;G;creature;ru;NM;0;4;4;16;
Leyline Invocation;Призыв Невидимых Лучей;Common;stx;G;sorcery;ru;NM;0;4;4;12;
Mage Duel;Дуэль Магов;Common;stx;G;sorcery;ru;NM;0;4;4;12;
Master Symmetrist;Мастер Симметрии;Uncommon;stx;G;creature;ru;NM;0;4;4;15;
Overgrown Arch;Заросшая Арка;Uncommon;stx;G;creature;ru;NM;0;4;4;16;
Professor of Zoomancy;Профессор Зоомантии;Common;stx;G;creature;ru;NM;0;4;4;12;
Reckless Amplimancer;Безрассудный Ростомант;Common;stx;G;creature;ru;NM;0;4;4;11;
Scurrid Colony;Колония Скурридов;Common;stx;G;creature;ru;NM;0;4;4;13;
Spined Karok;Шипастый Карок;Common;stx;G;creature;ru;NM;0;4;4;11;
Springmane Cervin;Волень Весенней Гривы;Common;stx;G;creature;ru;NM;0;4;4;12;
Tangletrap;Спутывающая Мухоловка;Common;stx;G;instant;ru;NM;0;4;4;11;
Verdant Mastery;Зеленое Мастерство;Rare;stx;G;sorcery;ru;NM;0;3;3;25;
Augmenter Pugilist;Усилитель-Борец;Rare;stx;G;creature;ru;NM;0;3;3;32;
Blex, Vexing Pest;Блекс, Вредный Паразит;Mythic Rare;stx;G;legendary creature;ru;NM;0;1;1;121;
Extus, Oriq Overlord;Эктус, Повелитель Орика;Mythic Rare;stx;WB;legendary creature;ru;NM;0;1;1;141;
Flamescroll Celebrant;Жрица Огненного Свитка;Rare;stx;R;creature;ru;NM;0;4;4;27;
Jadzi, Oracle of Arcavios;Ядзи, Оракул Аркавиоса;Mythic Rare;stx;U;legendary creature;ru;NM;0;1;1;111;
Kianne, Dean of Substance;Киана, Декан Сущности;Rare;stx;G;legendary creature;ru;NM;0;4;4;23;
Mila, Crafty Companion;Мила, Хитроумная Спутница;Mythic Rare;stx;W;legendary creature;ru;NM;0;1;1;131;
Pestilent Cauldron;Болезнетворный Котел;Rare;stx;B;artifact;ru;NM;0;4;4;25;
Plargg, Dean of Chaos;Пларгг, Декан Хаоса;Rare;stx;R;legendary creature;ru;NM;0;4;4;30;
Selfless Glyphweaver;Бескорыстный Творец Знаков;Rare;stx;W;creature;ru;NM;0;1;1;30;
Torrent Sculptor;Скульптор Течения;Rare;stx;U;creature;ru;NM;0;1;1;23;
Uvilda, Dean of Perfection;Увильда, Декан Совершенства;Rare;stx;U;legendary creature;ru;NM;0;4;4;25;
Aether Helix;Эфирная Спираль;Uncommon;stx;UG;sorcery;ru;NM;0;4;4;16;
Biomathematician;Биоматематик;Common;stx;UG;creature;ru;NM;0;4;4;11;
Blood Researcher;Исследовательница Крови;Common;stx;BG;creature;ru;NM;0;4;4;13;
Body of Research;Корпус Исследований;Mythic Rare;stx;UG;sorcery;ru;NM;0;2;2;118;
Closing Statement;Заключительный Тезис;Uncommon;stx;WB;instant;ru;NM;0;4;4;16;
Cram Session;Зубрежка;Common;stx;BG;sorcery;ru;NM;0;4;4;13;
Creative Outburst;Выплеск Творчества;Uncommon;stx;UR;instant;ru;NM;0;4;4;16;
Culmination of Studies;Кульминация Обучения;Rare;stx;UR;sorcery;ru;NM;0;4;4;21;
Daemogoth Woe-Eater;Демогот, Пожиратель Горестей;Uncommon;stx;BG;creature;ru;NM;0;12;12;16;
Deadly Brew;Смертельное Зелье;Uncommon;stx;BG;sorcery;ru;NM;0;12;12;19;
Decisive Denial;Окончательный Отказ;Uncommon;stx;UG;instant;ru;NM;0;8;8;18;
Dina, Soul Steeper;Дина, Питающая Души;Uncommon;stx;BG;legendary creature;ru;NM;0;4;4;19;
Double Major;Двойная Специализация;Rare;stx;UG;instant;ru;NM;0;1;1;117;
Elemental Expressionist;Выразитель Стихий;Rare;stx;UR;creature;ru;NM;0;4;4;23;
Elemental Masterpiece;Стихийный Шедевр;Common;stx;UR;sorcery;ru;NM;0;4;4;12;
Elemental Summoning;Призыв Элементаля;Common;stx;UR;sorcery;ru;NM;0;4;4;11;
Eureka Moment;Момент Озарения;Common;stx;UG;instant;ru;NM;0;4;4;15;
Exhilarating Elocution;Бодрящее Красноречие;Common;stx;WB;sorcery;ru;NM;0;4;4;11;
Fractal Summoning;Призыв Фрактала;Common;stx;UG;sorcery;ru;NM;0;4;4;12;
Fracture;Трещина;Uncommon;stx;WB;instant;ru;NM;0;4;4;46;
Golden Ratio;Золотое Сечение;Uncommon;stx;UG;sorcery;ru;NM;0;4;4;16;
Hofri Ghostforge;Хофри Духогорн;Mythic Rare;stx;WR;legendary creature;ru;NM;0;2;2;96;
Humiliate;Уничижение;Uncommon;stx;WB;sorcery;ru;NM;0;1;1;16;
Infuse with Vitality;Насыщение Жизнью;Common;stx;BG;instant;ru;NM;0;4;4;13;
Inkling Summoning;Призыв Чернильника;Common;stx;WB;sorcery;ru;NM;0;4;4;12;
Killian, Ink Duelist;Киллиан, Чернильный Дуэлянт;Uncommon;stx;WB;legendary creature;ru;NM;0;4;4;19;
Lorehold Apprentice;Ученица с Лорхолда;Uncommon;stx;WR;creature;ru;NM;0;12;12;16;
